Seq,DateListed,年度,類別,項目別,總計,民意代表_主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農_林_漁_牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,其他,樣本數_人,母體數_人
52,"20230401","104","統計區域","中部地區_非原住民鄉鎮市","100","0.105464055611648","6.82375006402981","3.96768446509983","5.1091899120571","27.3836372802232","2.38582498996895","17.6031694288955","20.3847561867756","15.4825157036514","0.754007913687274","2601.76270099663","19959.7957169768"
53,"20230401","104","統計區域","南部地區","100","0.0884805871844786","7.98146164000507","5.07073268302621","5.58424061057908","21.593698747553","6.28007827085622","19.3892017203388","17.0143632022553","12.2581338425341","4.73960869566769","5738.49074776875","44017.4371424012"
54,"20230401","104","統計區域","南部地區_山地鄉","100","0.143097552409122","7.90994670531261","3.86755980245693","4.65978723382606","16.1247224777673","9.8641269648228","24.1306255966619","14.9686532704053","12.8551301061753","5.47635029016275","3213.3945129895","24647.5689184846"
55,"20230401","104","統計區域","南部地區_平地原住民鄉鎮市","100","0","6.88359663851594","3.87988353565335","4.22753343635343","24.6166096747188","1.9670558090891","17.9888878001078","12.7175324804083","27.0187338045171","0.700166820636094","143.465496067323","1100.66182561453"
56,"20230401","104","統計區域","南部地區_非原住民鄉鎮市","100","0.0201257729333782","8.14408760818218","6.76571647247752","6.91318745048724","28.7899482176752","1.7045698337284","13.0767600535643","20.0331661473189","10.5634277464679","3.98901069716515","2381.63073871191","18269.2063983021"
57,"20230401","104","統計區域","東部地區","100","0.146794835045216","6.04989390998422","4.59456126393168","5.33075856467629","22.83674103094","6.80642266418012","23.6076999422815","12.0593789146725","15.8083687859122","2.75938008837676","9752.32128450394","74814.1329619689"
58,"20230401","104","統計區域","東部地區_山地鄉","100","0.208845205352583","6.97971193361367","5.61516788433935","6.61910373163489","20.3239431045013","4.68199492046786","19.5239710634612","13.2618850450212","18.063381336633","4.72199577497505","2405.12662465381","18452.4797267618"
59,"20230401","104","統計區域","東部地區_平地原住民鄉鎮市","100","0.119533771674109","5.75519412208697","4.25854179139561","4.91726427207591","23.6137120992859","7.51463599989655","24.9868778709742","11.6854153998306","15.0478401531669","2.10098451961338","7334.79199584315","56266.4903327874"
60,"20230401","104","統計區域","東部地區_非原住民鄉鎮市","100","4.23348354049394","0","5.37126551661547","0","50.6828619638827","0","0","0","28.2260605160456","11.4863284629624","12.4026640069818","95.1629024199075"
61,"20230401","104","縣市","新北市","100","0.280581089660267","3.94483977850001","5.55704981399322","9.16511300984766","30.8713893088745","0.894805995705554","19.1057982154418","17.2703153409501","12.5054185408047","0.404688906222449","3336.22831676701","25598.3261736263"
62,"20230401","104","縣市","臺北市","100","0.41991404958553","12.1269479573813","6.87725672914246","12.1198317732523","29.5074080390256","0.28253441585898","13.6091877723216","13.2340374938506","11.6039152420474","0.218966527534322","932.633568472145","7154.66856392641"
63,"20230401","104","縣市","桃園市","100","0.15042207286199","4.36787696054455","3.94032153327757","4.4764244852642","23.7094059735134","1.93206125985488","19.0403851388888","26.5303307040653","15.4312084222694","0.42156344946","3867.36003846658","29669.1451195913"
64,"20230401","104","縣市","臺中市","99.9999999999999","0.0783575003905613","5.82134500805153","4.12525566201524","4.02027284853233","27.100224256028","3.44528572724292","17.5797242439917","17.6227141924066","19.2928023191662","0.914018242174698","1910.43252720982","14654.3888958928"
65,"20230401","104","縣市","臺南市","100","0.117400745217003","6.049850465578","3.62837197737236","6.98324113978643","33.9224456275099","1.04446866576181","9.49150880028205","29.5813778283626","6.87623288575524","2.30510186437463","408.21357174889","3131.85320046842"
66,"20230401","104","縣市","高雄市","100","0.0702130855850806","7.06964363858877","5.62786288706506","6.83421167015517","23.4637849642062","7.69869973982672","18.1693585778123","17.9502372249785","10.5494202446768","2.56656796710564","1678.7807117551","12875.3923221948"
67,"20230401","104","縣市","宜蘭縣","100","0.487400335868393","12.5941708577389","5.32269375502917","6.33902832535196","19.4883829618534","9.08282424620819","14.077780371023","15.2420468327028","16.9258081826916","0.439864131532627","704.182549338592","5402.05096903063"
68,"20230401","104","縣市","新竹縣","99.9999999999999","0.186429633233801","7.83631183412345","2.33268232151793","6.59718423750298","21.50016684976","3.55077513729639","9.21887540613729","28.4440603563059","17.7112488909861","2.62226533313615","1068.64699441528","8196.00607011241"
69,"20230401","104","縣市","苗栗縣","100","0","5.41709194695496","5.82716183242931","4.20870102296248","18.0636949523419","12.1435845943086","11.6630569664389","14.2673797211009","26.8001486681997","1.60918029526341","549.671050060598","4218.25554866265"
70,"20230401","104","縣市","彰化縣","100","0","3.74815327453334","3.0379816176163","3.41202696777917","27.664040144594","3.4432687019266","18.4104916179128","31.7116080931197","8.26166696882791","0.310762613690265","439.643407539253","3373.28433237795"
71,"20230401","104","縣市","南投縣","100","0.242518525499707","7.70283969175828","3.30337803777274","4.27938112156646","16.423319557749","18.9267295046838","6.81346771048213","12.390866711199","29.325917755971","0.591581383317816","1600.67676084203","12279.835611953"
72,"20230401","104","縣市","雲林縣","100","0","6.95307344809683","8.76406974294109","7.59314760671096","27.7465653746305","0.34847569065761","7.11378939125097","23.3495219243935","16.7777054479766","1.3536513733419","121.024262374871","927.951444578004"
73,"20230401","104","縣市","嘉義縣","100","0","4.34475366437413","2.00578968959505","6.46212026804042","19.1319580315087","21.9738074777988","4.55231344918769","5.67666017542047","35.1008055905947","0.751791653480025","298.1023136045","2287.61330971076"
74,"20230401","104","縣市","屏東縣","99.9999999999999","0.10642368351349","9.07520416848284","5.18855412267411","4.64982308351588","18.7877848275295","4.96084430622472","23.1873417050291","16.3443794654414","10.9979986239548","6.70164601363403","3213.04800115929","24646.6357432371"
75,"20230401","104","縣市","臺東縣","99.9999999999999","0.189981427177522","5.17232224094216","4.56732813703155","3.66755552510046","22.8643318751019","9.71238882143055","23.1588099241279","9.94762605194501","18.1602890716836","2.55936692545929","4039.96146051276","31000.3520373478"
76,"20230401","104","縣市","花蓮縣","100","0.116238249168773","6.67081796867499","4.61383000776443","6.50755450988679","22.8172191849823","4.75031218975266","23.9253111663105","13.5535453796268","14.1442723467544","2.90089899707837","5712.35982399115","43813.7809246214"
77,"20230401","104","縣市","澎湖縣","100","0","10.8885085446276","2.34948803823303","7.8417928096152","33.4316652817883","0","2.18799712521785","7.70912759597298","32.3054547226476","3.28596588189752","35.2574438353868","270.409837875195"
78,"20230401","104","縣市","基隆市","100","0.176275231876106","4.93462063518319","1.00255957826801","7.0822506825181","17.5047569157937","4.7081061237333","31.866281987913","21.6470644012286","9.84221237985801","1.23587206362802","608.842335427955","4671.59019436489"
79,"20230401","104","縣市","新竹市","99.9999999999999","0","5.71548332935749","4.68701892033863","6.70823084910561","38.8461765437988","0.669690795717871","12.7393570562232","15.4217376963222","15.2123048091362","0","315.218567969878","2418.1752495576"
80,"20230401","104","縣市","嘉義市","100","0","5.95268115990602","7.78613525441966","5.5050418924608","32.638349226212","1.86504083878412","9.06702101194773","9.01662798927273","27.4500462823496","0.719056344647367","105.088705665562","805.532728914951"
81,"20230401","106","總計","-","99.999999999997","0.145677657680574","7.75368788683356","4.96066978647726","5.86791323210995","24.6373727428483","6.70827453865058","17.246543978317","13.7560911111209","16.5189563221706","2.40481274378829","28985.9717949819","248676.461122412"
82,"20230401","106","行政區域","山地原住民地區","100.000000000002","0.196464675831672","8.20268015506509","3.85157548485025","5.3264705885534","17.5589709164894","13.6011459183419","15.5529466885023","12.2648454476862","19.9656899662947","3.47921015838715","8384.44241169328","71931.9969192597"
83,"20230401","106","行政區域","平地原住民地區","99.9999999999996","0.105811193483604","6.53970702172947","4.20892698538136","5.5880094809159","23.9278190589967","7.92264371825174","23.5466070439689","10.8867466407195","14.7286062181429","2.54512263840947","6872.10064952299","58958.9063270555"
84,"20230401","106","行政區域","非原住民地區","99.9999999999994","0.134617485886233","8.08715893677927","6.01429048087726","6.3386829140254","29.3153493766812","1.89091074815725","15.1272604463635","16.1030825021149","15.3102058406874","1.67844126842709","13729.4287337667","117785.557876088"
85,"20230401","106","統計區域","北部地區","99.9999999999995","0.138515804516645","7.15024286979941","5.71050641477661","6.2034505130968","27.8699221601249","3.15998882633445","15.6179026014129","16.3846461677996","16.6673971525003","1.09742748963783","10248.4971133646","87924.1346753573"
86,"20230401","106","統計區域","北部地區_山地原住民地區","100","0.307820943093098","7.08007284714561","3.17618953019726","6.99743231607693","19.0446571551609","10.4967166983114","14.3499459892458","17.2692381035117","20.4748998362613","0.803026580996187","1539.6652013276","13210.544946517"
87,"20230401","106","統計區域","北部地區_平地原住民地區","100","0","0","0","0","2.43340975495841","2.70920704143447","5.49359962357199","28.7200381433385","55.6028169405801","5.04092849611653","22.6057700969859","193.927524074594"
88,"20230401","106","統計區域","北部地區_非原住民地區","99.9999999999996","0.108862541868279","7.18128988566055","6.1746407178501","6.07884027974997","29.5006246658734","1.86053642071849","15.8690279859231","16.1957280603655","15.8910941851419","1.13935525684842","8686.22614194012","74519.662204766"
89,"20230401","106","統計區域","中部地區","100","0.174432361225419","7.96975788255331","5.13380139105649","5.01970452762226","23.2832018207177","13.5241161576875","11.6871261461488","14.2731123958143","16.8916271615605","2.04312015561397","4459.60704863952","38252.3034095997"
90,"20230401","106","統計區域","中部地區_山地原住民地區","100","0.099692533461739","7.1135710476233","3.70707383749572","3.82466174184128","15.578618127339","31.0112638386153","7.25017912254209","9.96428199946296","19.0243812347259","2.426276516893","1774.02598816313","15216.3416080536"
91,"20230401","106","統計區域","中部地區_平地原住民地區","100","0","5.20219438466489","3.50424555955309","4.80342412334287","29.2266562618048","5.81832275317441","7.51146765271845","5.96963735187628","32.307385425588","5.65666648727731","144.417244097588","1239.2058870917"
92,"20230401","106","統計區域","中部地區_非原住民地區","100","0.236525287586611","8.72480658818123","6.22244637609351","5.86626147799358","28.3238791639169","1.75441293585291","15.0219619575356","17.7531876279966","14.5263204553534","1.57019812948986","2541.16381637876","21796.7559144543"
93,"20230401","106","統計區域","南部地區","99.9999999999994","0.23355860813821","9.71767556278533","4.71302854600925","5.81536888146058","22.5133135391718","7.2760414693474","16.3840225022602","11.8587421304867","17.3957911984473","4.09245756189261","5557.17119749906","47682.9792889858"
94,"20230401","106","統計區域","南部地區_山地原住民地區","100.000000000001","0.337999043796322","9.08619748101349","4.33747596386439","4.40122834653267","16.3901190437424","11.6927461205097","19.5909957198885","9.65379738036081","19.8346628245311","4.67477807576129","2947.71012588513","25291.9603307569"
95,"20230401","106","統計區域","南部地區_平地原住民地區","100","0","6.1926848604313","2.34108064286225","3.49700809127672","25.1723266221129","5.25996704960858","14.7030020089872","18.050236624295","24.7836941004262","0","119.029135767682","1022.04868631572"
96,"20230401","106","統計區域","南部地區_非原住民地區","100.000000000001","0.121115422697282","10.6336780870748","5.27097341169215","7.60000629853135","29.6334484596453","2.14492886904724","12.6687028773563","14.1723475924661","14.1558297031896","3.5989692783006","2490.43193584622","21368.970271913"
97,"20230401","106","統計區域","東部地區","100.000000000001","0.083383570539463","7.10067387671676","4.14878062091339","5.94075202053861","22.8845972288781","7.03153631463214","22.5526212469079","11.6119348644773","15.595140766786","3.05057948961121","8720.69643547952","74817.043748458"
98,"20230401","106","統計區域","東部地區_山地原住民地區","100","0","8.6999376503105","3.78742553283825","6.65402301483239","19.759005223304","3.9575681924863","17.7546452631002","14.1829062600529","20.5647224562911","4.63976640678478","2123.04109631731","18213.1500339329"
99,"20230401","106","統計區域","東部地區_平地原住民地區","99.9999999999997","0.110408868265157","6.59776259795232","4.27261308944571","5.66221763122293","23.8628686499978","8.03485049882464","24.120204793769","10.8038053677319","14.0209156885052","2.51435281428506","6586.04849956075","56503.7242295735"
100,"20230401","106","統計區域","東部地區_非原住民地區","0","","","","","","","","","","","",""
101,"20230401","106","縣市","新北市","100","0.176601606362851","6.08147959818406","6.63339274734694","7.53518863749627","30.8310343371579","1.355387067052","14.3979305582089","11.862043411959","20.6977900506069","0.429151985625436","3041.65338641976","26097.6840735452"
102,"20230401","106","縣市","臺北市","100","0.170581502745816","10.0777336850748","9.3049083772305","12.0477294050545","33.4399029061383","0.599494617823414","11.3148315017487","9.63291431608065","12.3788852310649","1.03301845703861","880.183330286138","7550.54852661548"
103,"20230401","106","縣市","桃園市","99.9999999999991","0.0540627961012531","5.77318794362376","5.19156562452834","4.73667211318122","27.2627962439616","3.0169635505708","17.0660328873596","20.5468424580264","14.5829099395958","1.76896644305024","3772.48700685451","32360.8771304365"
104,"20230401","106","縣市","臺中市","100","0.349039013174027","8.83659090743188","6.35822306074293","5.84383517132869","29.6034220463106","2.22850419116938","13.8678442112776","17.5185982968736","14.0430964478902","1.35084665380152","1721.81865216367","14770.5092168335"
105,"20230401","106","縣市","臺南市","100","0.604417500672673","8.28723827985235","4.7509700865058","8.32531336801409","27.2158746206911","0.321801078294825","15.2980175921236","18.8450373816439","10.5639845480726","5.78734554412918","376.044776511173","3224.83950345812"
106,"20230401","106","縣市","高雄市","99.9999999999998","0.0368852009078494","9.44794799672514","4.59070509498185","6.27046054853096","26.1777724543668","9.73526446446199","11.6277230650211","12.349346612112","16.6246095651228","3.13928499776938","1741.8601367992","14948.9609842121"
